market,participation,similarity,shock,safeguard,normalised_liquidity_deterioration_mean,normalised_liquidity_deterioration_std,normalised_liquidity_deterioration_count,shock_minus_pre_volatility_mean,shock_minus_pre_volatility_std,shock_minus_pre_volatility_count,recovery_minus_pre_volatility_mean,recovery_minus_pre_volatility_std,recovery_minus_pre_volatility_count,shock_minus_pre_correlation_mean,shock_minus_pre_correlation_std,shock_minus_pre_correlation_count,recovery_minus_pre_correlation_mean,recovery_minus_pre_correlation_std,recovery_minus_pre_correlation_count,shock_liquidity_deterioration_mean,shock_liquidity_deterioration_std,shock_liquidity_deterioration_count,recovery_liquidity_deterioration_mean,recovery_liquidity_deterioration_std,recovery_liquidity_deterioration_count
amm,0.0,0.0,fundamental,all,0.00935847741000468,0.0030506123150149363,10,0.005429988841423721,0.0022054216801483035,10,-0.00019690676504204968,0.0021144439017430025,10,-0.029701382238766817,0.11344167410459138,10,-0.030801303065273927,0.19000345268743543,10,0.009370612966304936,0.0031754377168809423,10,0.019939711561117412,0.005064565060742158,10
amm,0.0,0.0,fundamental,circuit_breaker,0.00935847741000468,0.0030506123150149363,10,0.005429988841423721,0.0022054216801483035,10,-0.00019690676504204968,0.0021144439017430025,10,-0.029701382238766817,0.11344167410459138,10,-0.030801303065273927,0.19000345268743543,10,0.009370612966304936,0.0031754377168809423,10,0.019939711561117412,0.005064565060742158,10
amm,0.0,0.0,fundamental,execution_delay,0.00935847741000468,0.0030506123150149363,10,0.005429988841423721,0.0022054216801483035,10,-0.00019690676504204968,0.0021144439017430025,10,-0.029701382238766817,0.11344167410459138,10,-0.030801303065273927,0.19000345268743543,10,0.009370612966304936,0.0031754377168809423,10,0.019939711561117412,0.005064565060742158,10
amm,0.0,0.0,fundamental,liquidity_buffer,0.00935847741000468,0.0030506123150149363,10,0.005429988841423721,0.0022054216801483035,10,-0.00019690676504204968,0.0021144439017430025,10,-0.029701382238766817,0.11344167410459138,10,-0.030801303065273927,0.19000345268743543,10,0.009370612966304936,0.0031754377168809423,10,0.019939711561117412,0.005064565060742158,10
amm,0.0,0.0,fundamental,none,0.00935847741000468,0.0030506123150149363,10,0.005429988841423721,0.0022054216801483035,10,-0.00019690676504204968,0.0021144439017430025,10,-0.029701382238766817,0.11344167410459138,10,-0.030801303065273927,0.19000345268743543,10,0.009370612966304936,0.0031754377168809423,10,0.019939711561117412,0.005064565060742158,10
amm,0.0,0.0,fundamental,position_limit,0.00935847741000468,0.0030506123150149363,10,0.005429988841423721,0.0022054216801483035,10,-0.00019690676504204968,0.0021144439017430025,10,-0.029701382238766817,0.11344167410459138,10,-0.030801303065273927,0.19000345268743543,10,0.009370612966304936,0.0031754377168809423,10,0.019939711561117412,0.005064565060742158,10
amm,0.0,0.0,liquidity,all,0.2548251671042735,0.0022442601342314676,10,-0.00019944273690802986,0.0024005057838542183,10,-0.00015500253396451982,0.0022722175833308042,10,-0.0014623696024447547,0.11034292308889519,10,-0.005814004638172334,0.18868767623719893,10,0.2548343341253689,0.0023265256553874564,10,0.4526296805886882,0.002791980721784768,10
amm,0.0,0.0,liquidity,circuit_breaker,0.2548251671042735,0.0022442601342314676,10,-0.00019944273690802986,0.0024005057838542183,10,-0.00015500253396451982,0.0022722175833308042,10,-0.0014623696024447547,0.11034292308889519,10,-0.005814004638172334,0.18868767623719893,10,0.2548343341253689,0.0023265256553874564,10,0.4526296805886882,0.002791980721784768,10
amm,0.0,0.0,liquidity,execution_delay,0.2548251671042735,0.0022442601342314676,10,-0.00019944273690802986,0.0024005057838542183,10,-0.00015500253396451982,0.0022722175833308042,10,-0.0014623696024447547,0.11034292308889519,10,-0.005814004638172334,0.18868767623719893,10,0.2548343341253689,0.0023265256553874564,10,0.4526296805886882,0.002791980721784768,10
amm,0.0,0.0,liquidity,liquidity_buffer,0.2548251671042735,0.0022442601342314676,10,-0.00019944273690802986,0.0024005057838542183,10,-0.00015500253396451982,0.0022722175833308042,10,-0.0014623696024447547,0.11034292308889519,10,-0.005814004638172334,0.18868767623719893,10,0.2548343341253689,0.0023265256553874564,10,0.4526296805886882,0.002791980721784768,10
amm,0.0,0.0,liquidity,none,0.2548251671042735,0.0022442601342314676,10,-0.00019944273690802986,0.0024005057838542183,10,-0.00015500253396451982,0.0022722175833308042,10,-0.0014623696024447547,0.11034292308889519,10,-0.005814004638172334,0.18868767623719893,10,0.2548343341253689,0.0023265256553874564,10,0.4526296805886882,0.002791980721784768,10
amm,0.0,0.0,liquidity,position_limit,0.2548251671042735,0.0022442601342314676,10,-0.00019944273690802986,0.0024005057838542183,10,-0.00015500253396451982,0.0022722175833308042,10,-0.0014623696024447547,0.11034292308889519,10,-0.005814004638172334,0.18868767623719893,10,0.2548343341253689,0.0023265256553874564,10,0.4526296805886882,0.002791980721784768,10
amm,0.0,0.0,volatility,all,-0.0004561233274226,0.005617775909921763,10,0.00561354042703051,0.002376803914844326,10,0.00020973929865517995,0.002188308792594703,10,-0.025928495612842883,0.19371972717742442,10,-0.01567192147152085,0.19784936712411794,10,-0.00044255077998462956,0.005422111262415338,10,0.0006049187508870401,0.0068429309789093265,10
amm,0.0,0.0,volatility,circuit_breaker,-0.0004561233274226,0.005617775909921763,10,0.00561354042703051,0.002376803914844326,10,0.00020973929865517995,0.002188308792594703,10,-0.025928495612842883,0.19371972717742442,10,-0.01567192147152085,0.19784936712411794,10,-0.00044255077998462956,0.005422111262415338,10,0.0006049187508870401,0.0068429309789093265,10
amm,0.0,0.0,volatility,execution_delay,-0.0004561233274226,0.005617775909921763,10,0.00561354042703051,0.002376803914844326,10,0.00020973929865517995,0.002188308792594703,10,-0.025928495612842883,0.19371972717742442,10,-0.01567192147152085,0.19784936712411794,10,-0.00044255077998462956,0.005422111262415338,10,0.0006049187508870401,0.0068429309789093265,10
amm,0.0,0.0,volatility,liquidity_buffer,-0.0004561233274226,0.005617775909921763,10,0.00561354042703051,0.002376803914844326,10,0.00020973929865517995,0.002188308792594703,10,-0.025928495612842883,0.19371972717742442,10,-0.01567192147152085,0.19784936712411794,10,-0.00044255077998462956,0.005422111262415338,10,0.0006049187508870401,0.0068429309789093265,10
amm,0.0,0.0,volatility,none,-0.0004561233274226,0.005617775909921763,10,0.00561354042703051,0.002376803914844326,10,0.00020973929865517995,0.002188308792594703,10,-0.025928495612842883,0.19371972717742442,10,-0.01567192147152085,0.19784936712411794,10,-0.00044255077998462956,0.005422111262415338,10,0.0006049187508870401,0.0068429309789093265,10
amm,0.0,0.0,volatility,position_limit,-0.0004561233274226,0.005617775909921763,10,0.00561354042703051,0.002376803914844326,10,0.00020973929865517995,0.002188308792594703,10,-0.025928495612842883,0.19371972717742442,10,-0.01567192147152085,0.19784936712411794,10,-0.00044255077998462956,0.005422111262415338,10,0.0006049187508870401,0.0068429309789093265,10
amm,0.0,0.5,fundamental,all,0.00935847741000468,0.0030506123150149363,10,0.005429988841423721,0.0022054216801483035,10,-0.00019690676504204968,0.0021144439017430025,10,-0.029701382238766817,0.11344167410459138,10,-0.030801303065273927,0.19000345268743543,10,0.009370612966304936,0.0031754377168809423,10,0.019939711561117412,0.005064565060742158,10
amm,0.0,0.5,fundamental,circuit_breaker,0.00935847741000468,0.0030506123150149363,10,0.005429988841423721,0.0022054216801483035,10,-0.00019690676504204968,0.0021144439017430025,10,-0.029701382238766817,0.11344167410459138,10,-0.030801303065273927,0.19000345268743543,10,0.009370612966304936,0.0031754377168809423,10,0.019939711561117412,0.005064565060742158,10
amm,0.0,0.5,fundamental,execution_delay,0.00935847741000468,0.0030506123150149363,10,0.005429988841423721,0.0022054216801483035,10,-0.00019690676504204968,0.0021144439017430025,10,-0.029701382238766817,0.11344167410459138,10,-0.030801303065273927,0.19000345268743543,10,0.009370612966304936,0.0031754377168809423,10,0.019939711561117412,0.005064565060742158,10
amm,0.0,0.5,fundamental,liquidity_buffer,0.00935847741000468,0.0030506123150149363,10,0.005429988841423721,0.0022054216801483035,10,-0.00019690676504204968,0.0021144439017430025,10,-0.029701382238766817,0.11344167410459138,10,-0.030801303065273927,0.19000345268743543,10,0.009370612966304936,0.0031754377168809423,10,0.019939711561117412,0.005064565060742158,10
amm,0.0,0.5,fundamental,none,0.00935847741000468,0.0030506123150149363,10,0.005429988841423721,0.0022054216801483035,10,-0.00019690676504204968,0.0021144439017430025,10,-0.029701382238766817,0.11344167410459138,10,-0.030801303065273927,0.19000345268743543,10,0.009370612966304936,0.0031754377168809423,10,0.019939711561117412,0.005064565060742158,10
amm,0.0,0.5,fundamental,position_limit,0.00935847741000468,0.0030506123150149363,10,0.005429988841423721,0.0022054216801483035,10,-0.00019690676504204968,0.0021144439017430025,10,-0.029701382238766817,0.11344167410459138,10,-0.030801303065273927,0.19000345268743543,10,0.009370612966304936,0.0031754377168809423,10,0.019939711561117412,0.005064565060742158,10
amm,0.0,0.5,liquidity,all,0.2548251671042735,0.0022442601342314676,10,-0.00019944273690802986,0.0024005057838542183,10,-0.00015500253396451982,0.0022722175833308042,10,-0.0014623696024447547,0.11034292308889519,10,-0.005814004638172334,0.18868767623719893,10,0.2548343341253689,0.0023265256553874564,10,0.4526296805886882,0.002791980721784768,10
amm,0.0,0.5,liquidity,circuit_breaker,0.2548251671042735,0.0022442601342314676,10,-0.00019944273690802986,0.0024005057838542183,10,-0.00015500253396451982,0.0022722175833308042,10,-0.0014623696024447547,0.11034292308889519,10,-0.005814004638172334,0.18868767623719893,10,0.2548343341253689,0.0023265256553874564,10,0.4526296805886882,0.002791980721784768,10
amm,0.0,0.5,liquidity,execution_delay,0.2548251671042735,0.0022442601342314676,10,-0.00019944273690802986,0.0024005057838542183,10,-0.00015500253396451982,0.0022722175833308042,10,-0.0014623696024447547,0.11034292308889519,10,-0.005814004638172334,0.18868767623719893,10,0.2548343341253689,0.0023265256553874564,10,0.4526296805886882,0.002791980721784768,10
amm,0.0,0.5,liquidity,liquidity_buffer,0.2548251671042735,0.0022442601342314676,10,-0.00019944273690802986,0.0024005057838542183,10,-0.00015500253396451982,0.0022722175833308042,10,-0.0014623696024447547,0.11034292308889519,10,-0.005814004638172334,0.18868767623719893,10,0.2548343341253689,0.0023265256553874564,10,0.4526296805886882,0.002791980721784768,10
amm,0.0,0.5,liquidity,none,0.2548251671042735,0.0022442601342314676,10,-0.00019944273690802986,0.0024005057838542183,10,-0.00015500253396451982,0.0022722175833308042,10,-0.0014623696024447547,0.11034292308889519,10,-0.005814004638172334,0.18868767623719893,10,0.2548343341253689,0.0023265256553874564,10,0.4526296805886882,0.002791980721784768,10
