market,shock,safeguard,participation,similarity,realised_volatility,maximum_drawdown,mean_pairwise_correlation,normalised_liquidity_deterioration,recovery_time,peak_herding,peak_asset_herding
amm,fundamental,all,0.0,0.0,0.017145856123499358,0.0958896970563463,0.06631970781324294,0.00935847741000468,1.7,0.0,0.0
amm,fundamental,all,0.0,0.5,0.017145856123499358,0.0958896970563463,0.06631970781324294,0.00935847741000468,1.7,0.0,0.0
amm,fundamental,all,0.0,0.9,0.017145856123499358,0.0958896970563463,0.06631970781324294,0.00935847741000468,1.7,0.0,0.0
amm,fundamental,all,0.25,0.0,0.01692602144681133,0.1110997453637987,0.04253698156010799,0.01155815352684646,1.6,0.5878610351636667,0.8969077903529123
amm,fundamental,all,0.25,0.5,0.01704072177564106,0.11132875352307203,0.03893292511276703,0.011570647223534859,3.8,0.5809261829919724,1.0
amm,fundamental,all,0.25,0.9,0.01732584466780669,0.11149593891365281,0.03084045745598595,0.01156028074780022,1.9,0.5971131023259506,1.0
amm,fundamental,all,0.5,0.0,0.01800230117461585,0.09930535418043077,0.021611293052455287,0.01091946154760334,4.4,0.4586672740417628,0.8108226883871709
amm,fundamental,all,0.5,0.5,0.0186321411542089,0.09969814781777424,-0.002137353812904239,0.01094543143555504,4.3,0.4842943238453644,1.0
amm,fundamental,all,0.5,0.9,0.01978116742876696,0.10047168829563055,-0.03683883928660421,0.01094692852230279,3.8,0.461782366364622,1.0
amm,fundamental,all,0.75,0.0,0.01696255127064904,0.09856338163543824,0.030543433311755342,0.010240476096068901,3.1,0.4076640224949422,0.7688390940855735
amm,fundamental,all,0.75,0.5,0.018353563868299567,0.09911848590544023,-0.01412923514049482,0.01026312466762177,2.1,0.4168150853729776,1.0
amm,fundamental,all,0.75,0.9,0.020828969372853272,0.10033507067689906,-0.06535365248688874,0.010245562529212859,3.2,0.4503502596316551,1.0
amm,fundamental,circuit_breaker,0.0,0.0,0.017145856123499358,0.0958896970563463,0.06631970781324294,0.00935847741000468,1.7,0.0,0.0
amm,fundamental,circuit_breaker,0.0,0.5,0.017145856123499358,0.0958896970563463,0.06631970781324294,0.00935847741000468,1.7,0.0,0.0
amm,fundamental,circuit_breaker,0.0,0.9,0.017145856123499358,0.0958896970563463,0.06631970781324294,0.00935847741000468,1.7,0.0,0.0
amm,fundamental,circuit_breaker,0.25,0.0,0.01647255652694355,0.0983664104392704,0.02950971922007639,0.01082786665129325,2.1,0.48753134877387244,0.7013333333333334
amm,fundamental,circuit_breaker,0.25,0.5,0.01725234360529354,0.09864737191008752,0.0024540403310411496,0.01082911118905221,3.3,0.46902663533098315,1.0
amm,fundamental,circuit_breaker,0.25,0.9,0.01865589238539265,0.09910682614355606,-0.035020046362379445,0.0108016226523104,2.9,0.4633060585736642,1.0
amm,fundamental,circuit_breaker,0.5,0.0,0.018650902074456268,0.10442342378504028,0.04156702919817669,0.00950995452701971,4.6,0.38222499452569136,0.7453333333333333
amm,fundamental,circuit_breaker,0.5,0.5,0.02076991933185935,0.10605327404461229,-0.01131345248082439,0.00950700059240637,2.1,0.40511291404716643,1.0
