Outcome,Term,Coefficient,StdError,NormalApproxP,CI95Low,CI95High,StandardisedEffect
maximum_drawdown,shock_volatility,-0.029862014874204187,0.0044347222211787015,1.6542101022309907e-11,-0.03855407042771444,-0.021169959320693932,-0.09355997741191757
maximum_drawdown,safeguard_circuit_breaker,0.05601884441412578,0.0062716443105482675,0.0,0.04372642156545117,0.06831126726280039,0.13875388607556746
maximum_drawdown,safeguard_execution_delay,0.06955041234018416,0.006271644310548266,0.0,0.057257989491509564,0.08184283518885876,0.17227042241387613
maximum_drawdown,safeguard_liquidity_buffer,0.0026244845804848926,0.006271644310548266,0.6756047300595762,-0.009667938268189707,0.014916907429159493,0.006500623822148282
maximum_drawdown,safeguard_none,0.0828216963619259,0.006271644310548266,0.0,0.0705292735132513,0.0951141192106005,0.20514225778442
maximum_drawdown,safeguard_position_limit,0.07815639863809498,0.006271644310548266,0.0,0.06586397578942038,0.09044882148676958,0.19358671436593045
mean_pairwise_correlation,Intercept,0.02637596219861061,0.009678444191820108,0.006425719570602784,0.007406211582643197,0.045345712814578026,0.13567619530043107
mean_pairwise_correlation,participation,0.22495615390414075,0.01590302424971247,0.0,0.1937862263747043,0.2561260814335772,0.3234733523824567
mean_pairwise_correlation,similarity,-0.0021502109421412674,0.010637722783052443,0.8398145047246981,-0.023000147596924054,0.01869972571264152,-0.0040727274173677575
mean_pairwise_correlation,participation_x_similarity,-0.14224124586701792,0.02274440801694954,4.003282150222276e-10,-0.186820285580239,-0.09766220615379682,-0.15807913618947453
mean_pairwise_correlation,amm,-0.01687295207785426,0.007833165902638061,0.03123704120516191,-0.03222595724702486,-0.0015199469086836625,-0.043401695274442056
mean_pairwise_correlation,participation_x_amm,-0.36432665921501506,0.016748013177960833,0.0,-0.3971527650438183,-0.3315005533862118,-0.5106147844552651
mean_pairwise_correlation,shock_liquidity,0.15429818470628515,0.005733290381851832,0.0,0.14306093555785557,0.16553543385471473,0.3741968918516997
mean_pairwise_correlation,shock_volatility,0.04874958614762827,0.005733290381851825,0.0,0.03751233699919869,0.05998683529605785,0.11822526396032262
mean_pairwise_correlation,safeguard_circuit_breaker,0.05191207892356579,0.008108097015038085,1.5285461785197185e-10,0.036020208774091136,0.06780394907304044,0.09952857572238455
mean_pairwise_correlation,safeguard_execution_delay,0.04111599135433657,0.008108097015038083,3.957740215554395e-07,0.025224121204861928,0.057007861503811215,0.07882974721425212
mean_pairwise_correlation,safeguard_liquidity_buffer,-0.03160612573411937,0.008108097015038083,9.695271425291807e-05,-0.04749799588359401,-0.015714255584644725,-0.060596931266250875
mean_pairwise_correlation,safeguard_none,0.043234666241048096,0.008108097015038083,9.698574121586034e-08,0.027342796091573453,0.05912653639052274,0.08289178245278805
mean_pairwise_correlation,safeguard_position_limit,0.03781523374675986,0.008108097015038083,3.102945128841128e-06,0.021923363597285216,0.0537071038962345,0.07250136063642616
normalised_liquidity_deterioration,Intercept,0.03593103043683378,0.009907280957949613,0.0002870334477651504,0.016512759759252538,0.05534930111441502,0.11772893897011906
normalised_liquidity_deterioration,participation,0.002811129242043825,0.016279034749835934,0.8628998014262967,-0.029095778867634606,0.034718037351722256,0.0025747772144594956
normalised_liquidity_deterioration,similarity,-4.761792992146602e-05,0.010889240695684855,0.9965109146657025,-0.02139052969346378,0.02129529383362085,-5.745039266102721e-05
normalised_liquidity_deterioration,participation_x_similarity,-0.005102399873878338,0.02328217593449641,0.8265294885863634,-0.0507354647054913,0.04053066495773462,-0.0036119498424691766
normalised_liquidity_deterioration,amm,-0.17899213222691607,0.008018372979125683,0.0,-0.19470814326600241,-0.16327612118782972,-0.2932700917751585
normalised_liquidity_deterioration,participation_x_amm,-0.0012040113761337297,0.017144002564145243,0.9440111502983397,-0.0348062564018584,0.03239823364959095,-0.0010748583568892718
normalised_liquidity_deterioration,shock_liquidity,0.512939928309978,0.0058688480814429725,0.0,0.5014369860703498,0.5244428705496063,0.7923628019359067
normalised_liquidity_deterioration,shock_volatility,-0.000155563032464473,0.005868848081442965,0.978853293342832,-0.011658505272092683,0.011347379207163737,-0.00024030564492672285
normalised_liquidity_deterioration,safeguard_circuit_breaker,0.09089054395535365,0.008299804552283973,0.0,0.07462292703287707,0.10715816087783023,0.11099828879487494
normalised_liquidity_deterioration,safeguard_execution_delay,0.09084253485945978,0.008299804552283973,0.0,0.0745749179369832,0.10711015178193636,0.11093965863095574
normalised_liquidity_deterioration,safeguard_liquidity_buffer,-0.0010976483479672797,0.008299804552283973,0.8947866307428418,-0.017365265270443866,0.015169968574509307,-0.0013404814518739937
normalised_liquidity_deterioration,safeguard_none,0.09132219032948519,0.008299804552283973,0.0,0.0750545734070086,0.10758980725196177,0.11152542843787949
normalised_liquidity_deterioration,safeguard_position_limit,0.0911616665638697,0.008299804552283973,0.0,0.07489404964139312,0.10742928348634628,0.11132939194696596
recovery_time,Intercept,2.8143837279902595,0.3387852521937663,0.0,2.1503646336904776,3.4784028222900414,0.48108966795396735
recovery_time,participation,-0.3668123861566366,0.556671090342798,0.5099348315747767,-1.4578877232285208,0.7242629509152476,-0.017527985183032235
recovery_time,similarity,0.111042805100181,0.3723639382938936,0.7655425721303226,-0.6187905139558505,0.8408761241562124,0.006989435073077524
recovery_time,participation_x_similarity,-1.6346083788706751,0.7961475887346202,0.04005828074328366,-3.1950576527905308,-0.07415910495081945,-0.06036846059367644
recovery_time,amm,-2.8716666666666817,0.2741929418825099,0.0,-3.409084832756401,-2.334248500576962,-0.24546920812076703
recovery_time,participation_x_amm,2.568888888888884,0.5862491693691262,1.1764544277870215e-05,1.4198405169253967,3.7179372608523718,0.11964515820985407
recovery_time,shock_liquidity,4.12083333333336,0.20068868398883566,0.0,3.727483512715242,4.514183153951478,0.3321022234024086
recovery_time,shock_volatility,0.6472222222222183,0.20068868398883538,0.0012597000189540353,0.2538724016041009,1.0405720428403356,0.05216030876492095
recovery_time,safeguard_circuit_breaker,0.6305555555555552,0.2838166587118197,0.026303566330323047,0.07427490448038854,1.1868362066307219,0.04017446466538469
recovery_time,safeguard_execution_delay,1.5097222222222246,0.28381665871181966,1.0413443840562309e-07,0.9534415711470581,2.066002873297391,0.09618864117020541
recovery_time,safeguard_liquidity_buffer,0.17222222222222147,0.28381665871181966,0.5439783309502946,-0.38405842885294506,0.728502873297388,0.010972761274245998
recovery_time,safeguard_none,2.3805555555555546,0.28381665871181966,0.0,1.824274904480388,2.936836206630721,0.15167187761336867
recovery_time,safeguard_position_limit,2.3180555555555533,0.28381665871181966,4.440892098500626e-16,1.7617749044803868,2.87433620663072,0.1476898271509406
peak_herding,Intercept,0.1483848393163902,0.013522666600678508,0.0,0.12188041277906034,0.17488926585372008,0.5405248146251832
peak_herding,participation,0.5877708876606488,0.022219614083544673,0.0,0.5442204440569012,0.6313213312643964,0.5985210979519637
peak_herding,similarity,-0.0012922497705489255,0.014862965135164757,0.9307158041101169,-0.030423661435471847,0.027839161894373996,-0.0017333309888458053
peak_herding,participation_x_similarity,0.033313643183396205,0.03177835616420163,0.29449472212757555,-0.028971934898438995,0.0955992212652314,0.026218141160226797
peak_herding,amm,-0.025706072999331364,0.01094445438025069,0.018835228499149315,-0.04715720358462272,-0.004254942414040012,-0.04682546706587847
peak_herding,participation_x_amm,-0.1846228104728326,0.02340022775775737,3.1086244689504383e-15,-0.23048725687803706,-0.13875836406762815,-0.18323926995043546
peak_herding,shock_liquidity,0.142683849691167,0.008010520371051402,0.0,0.12698322976390625,0.15838446961842773,0.2450444883405987
peak_herding,shock_volatility,0.0005331266517361599,0.008010520371051391,0.9469373158891548,-0.015167493275524566,0.016233746578996885,0.0009155888902506341
peak_herding,safeguard_circuit_breaker,0.0027785914694693215,0.011328586550406855,0.8062453938013645,-0.019425438169328114,0.024982621108266757,0.0037725484583190235
peak_herding,safeguard_execution_delay,0.05709377472108702,0.011328586550406852,4.6602628089864595e-07,0.03488974508228959,0.07929780435988446,0.07751734437045087
peak_herding,safeguard_liquidity_buffer,-0.07159087392024864,0.011328586550406852,2.6243029971340093e-10,-0.09379490355904607,-0.04938684428145121,-0.09720034197367192
peak_herding,safeguard_none,0.0027785914694693353,0.011328586550406852,0.8062453938013636,-0.019425438169328093,0.024982621108266764,0.003772548458319042
peak_herding,safeguard_position_limit,0.012505900020692212,0.011328586550406852,0.2696260517540958,-0.009698129618105216,0.034709929659489644,0.016979507193248852
peak_asset_herding,Intercept,0.2548895017021664,0.016773951999685507,0.0,0.2220125557827828,0.28776644762155,0.6115274758243958
peak_asset_herding,participation,0.999630312541586,0.027561926289761035,0.0,0.9456089370136543,1.0536516880695177,0.6704227296659007
peak_asset_herding,similarity,0.07454149969855145,0.01843650155049623,5.273836451791247e-05,0.03840595665957884,0.11067704273752406,0.06585232067784932
peak_asset_herding,participation_x_similarity,0.3077068907446078,0.03941889840724774,5.773159728050814e-15,0.2304458498664022,0.38496793162281334,0.15949787821884312
peak_asset_herding,amm,-0.016714267773646596,0.013575854367944083,0.21825699887105454,-0.043322942334817,0.009894406787523808,-0.02005264464056283
peak_asset_herding,participation_x_amm,-0.06522735593558779,0.029026397587191565,0.02462893121492149,-0.12211909520648326,-0.008335616664692319,-0.04263839904748025
peak_asset_herding,shock_liquidity,-0.00480940761453752,0.009936507951011465,0.6283760294723044,-0.024284963198519992,0.014666147969444952,-0.0054400091159939054
peak_asset_herding,shock_volatility,-0.0009573412942344706,0.009936507951011453,0.9232458982248086,-0.02043289687821692,0.018518214289747977,-0.0010828662873179503
peak_asset_herding,safeguard_circuit_breaker,-0.0008575766987038991,0.014052344306948513,0.9513374635188971,-0.028400171540322983,0.026685018142915184,-0.0007668687167374141
peak_asset_herding,safeguard_execution_delay,0.0097660793366455,0.01405234430694851,0.4870686787682412,-0.017776515504973577,0.03730867417826458,0.008733097272544935
peak_asset_herding,safeguard_liquidity_buffer,-0.0135489347233953,0.01405234430694851,0.3349576377104664,-0.04109152956501438,0.013993660118223776,-0.012115830805795544
peak_asset_herding,safeguard_none,-0.0008575766987038158,0.014052344306948511,0.9513374635189018,-0.028400171540322896,0.026685018142915264,-0.0007668687167373396
peak_asset_herding,safeguard_position_limit,-0.0008020211431483959,0.01405234430694851,0.9544863811927471,-0.028344615984767473,0.02674057369847068,-0.0007171894079818563
