market,shock,safeguard,participation,similarity,realised_volatility,maximum_drawdown,mean_pairwise_correlation,normalised_liquidity_deterioration,recovery_time,peak_herding,peak_asset_herding
amm,fundamental,all,0.0,0.0,0.01711563856346984,0.09789694184878601,0.05506983295692417,0.01224804999784772,5.5,0.0,0.0
amm,fundamental,all,0.0,0.5,0.01711563856346984,0.09789694184878601,0.05506983295692417,0.01224804999784772,5.5,0.0,0.0
amm,fundamental,all,0.0,0.9,0.01711563856346984,0.09789694184878601,0.05506983295692417,0.01224804999784772,5.5,0.0,0.0
amm,fundamental,all,0.25,0.0,0.016980741824088798,0.09423602858314666,-0.003687363725210599,0.008595706521386321,1.3,0.5667821361448426,0.8597295294818516
amm,fundamental,all,0.25,0.5,0.01715717524018976,0.09450168326724076,-0.00763379021259325,0.00861824567680094,1.9,0.5583607802938511,1.0
amm,fundamental,all,0.25,0.9,0.017538060189743278,0.09462594330184396,-0.021668447482336588,0.00861778318750058,1.5,0.5913490165251625,1.0
amm,fundamental,all,0.5,0.0,0.01796129084010421,0.10446106150675935,0.000871704722242729,0.01060553250749971,5.4,0.4541679194083869,0.8017497077696953
amm,fundamental,all,0.5,0.5,0.01847444764063683,0.10487952838254744,-0.01444258044401495,0.01059362954779069,4.7,0.4828013684704418,1.0
amm,fundamental,all,0.5,0.9,0.01954880815232056,0.10567083553670704,-0.03462297355046963,0.01057043099041626,3.9,0.5083121910395045,1.0
amm,fundamental,all,0.75,0.0,0.01661286995005756,0.1079284708144194,0.014164925040444231,0.01289212786238327,1.7,0.41574432890570934,0.7641118855021982
amm,fundamental,all,0.75,0.5,0.01794719871050222,0.10843219992622251,-0.016733001859977628,0.012952420418160299,2.0,0.44151002506663983,1.0
amm,fundamental,all,0.75,0.9,0.020356427263394823,0.10958422715539118,-0.0658501112385711,0.012882808022319258,1.5,0.4570421347176522,1.0
amm,fundamental,circuit_breaker,0.0,0.0,0.01711563856346984,0.09789694184878601,0.05506983295692417,0.01224804999784772,5.5,0.0,0.0
amm,fundamental,circuit_breaker,0.0,0.5,0.01711563856346984,0.09789694184878601,0.05506983295692417,0.01224804999784772,5.5,0.0,0.0
amm,fundamental,circuit_breaker,0.0,0.9,0.01711563856346984,0.09789694184878601,0.05506983295692417,0.01224804999784772,5.5,0.0,0.0
amm,fundamental,circuit_breaker,0.25,0.0,0.01696511557085422,0.10728733024181662,0.01972117227453673,0.013833194059631121,1.0,0.480152893065443,0.6826666666666666
amm,fundamental,circuit_breaker,0.25,0.5,0.017598697481707108,0.10770008261010697,-0.0064061087587766906,0.0138311192274308,1.0,0.4614460763259595,1.0
amm,fundamental,circuit_breaker,0.25,0.9,0.01886825604443039,0.10822026016152611,-0.04060158257200082,0.01382945478575938,0.6,0.4692645851985751,1.0
amm,fundamental,circuit_breaker,0.5,0.0,0.01819616206718693,0.10578228505967038,0.031274197782187915,0.010784817742470889,2.6,0.39010955893215044,0.7133333333333333
amm,fundamental,circuit_breaker,0.5,0.5,0.0204220661909022,0.10694340641236286,-0.02876786291562335,0.01076627849923715,2.5,0.3852298972256649,1.0
amm,fundamental,circuit_breaker,0.5,0.9,0.024078341166183147,0.10855078062661631,-0.08503262878155572,0.010787021229295621,1.2,0.3958583900464783,1.0
amm,fundamental,circuit_breaker,0.75,0.0,0.01784601788078476,0.09845828163800284,-0.013792263285527528,0.0123236547612477,3.0,0.3622367098047906,0.6915555555555556
amm,fundamental,circuit_breaker,0.75,0.5,0.02252710560727224,0.10053742968597479,-0.09489750657958822,0.01235962696327884,0.9,0.37208638982166103,1.0
amm,fundamental,circuit_breaker,0.75,0.9,0.02931626427549322,0.10303349486011451,-0.1411055276912813,0.01228640087776276,2.4,0.3483491076542925,1.0
amm,fundamental,execution_delay,0.0,0.0,0.01711563856346984,0.09789694184878601,0.05506983295692417,0.01224804999784772,5.5,0.0,0.0
amm,fundamental,execution_delay,0.0,0.5,0.01711563856346984,0.09789694184878601,0.05506983295692417,0.01224804999784772,5.5,0.0,0.0
amm,fundamental,execution_delay,0.0,0.9,0.01711563856346984,0.09789694184878601,0.05506983295692417,0.01224804999784772,5.5,0.0,0.0
amm,fundamental,execution_delay,0.25,0.0,0.01698030085372432,0.09425566959413625,-0.0029767150481137096,0.00861264991410654,1.3,0.5690072636461865,0.8558972141944278
amm,fundamental,execution_delay,0.25,0.5,0.01715785956616497,0.09450035474680817,-0.00753269550316898,0.00862519884178229,1.9,0.616229014671217,1.0
amm,fundamental,execution_delay,0.25,0.9,0.0175439363138208,0.09466067748474452,-0.02175553819796284,0.00862326087308853,1.5,0.6197568739504223,1.0
amm,fundamental,execution_delay,0.5,0.0,0.01796657629091846,0.10450506484041755,0.0008193309290343807,0.01063065160337219,5.4,0.4665227323256712,0.8017497077696953
amm,fundamental,execution_delay,0.5,0.5,0.01847348630430422,0.10490366194555975,-0.015572546846972951,0.01060334339301858,4.7,0.47411313025243373,1.0
amm,fundamental,execution_delay,0.5,0.9,0.01953754362042644,0.10573396146187805,-0.035394075960225015,0.010592893545055129,3.9,0.4709934326002273,1.0
amm,fundamental,execution_delay,0.75,0.0,0.01662310759320553,0.1080592111018382,0.01473416954994618,0.01293509144832897,1.8,0.4161604625790732,0.7624589929402148
amm,fundamental,execution_delay,0.75,0.5,0.01794160836516169,0.10869402357868421,-0.017154768460019933,0.01296470223181764,2.0,0.44634203583108584,1.0
amm,fundamental,execution_delay,0.75,0.9,0.02037357564747764,0.1097686339593797,-0.06585236161355336,0.01291975746814085,1.5,0.40721918170056803,1.0
amm,fundamental,liquidity_buffer,0.0,0.0,0.01711563856346984,0.09789694184878601,0.05506983295692417,0.01224804999784772,5.5,0.0,0.0
amm,fundamental,liquidity_buffer,0.0,0.5,0.01711563856346984,0.09789694184878601,0.05506983295692417,0.01224804999784772,5.5,0.0,0.0
amm,fundamental,liquidity_buffer,0.0,0.9,0.01711563856346984,0.09789694184878601,0.05506983295692417,0.01224804999784772,5.5,0.0,0.0
amm,fundamental,liquidity_buffer,0.25,0.0,0.01696511557085422,0.10728733024181662,0.01972117227453673,0.013833194059631121,1.0,0.480152893065443,0.6826666666666666
amm,fundamental,liquidity_buffer,0.25,0.5,0.017598697481707108,0.10770008261010697,-0.0064061087587766906,0.0138311192274308,1.0,0.4614460763259595,1.0
amm,fundamental,liquidity_buffer,0.25,0.9,0.01886825604443039,0.10822026016152611,-0.04060158257200082,0.01382945478575938,0.6,0.4692645851985751,1.0
amm,fundamental,liquidity_buffer,0.5,0.0,0.01819616206718693,0.10578228505967038,0.031274197782187915,0.010784817742470889,2.6,0.39010955893215044,0.7133333333333333
amm,fundamental,liquidity_buffer,0.5,0.5,0.0204220661909022,0.10694340641236286,-0.02876786291562335,0.01076627849923715,2.5,0.3852298972256649,1.0
amm,fundamental,liquidity_buffer,0.5,0.9,0.024078341166183147,0.10855078062661631,-0.08503262878155572,0.010787021229295621,1.2,0.3958583900464783,1.0
amm,fundamental,liquidity_buffer,0.75,0.0,0.01784601788078476,0.09845828163800284,-0.013792263285527528,0.0123236547612477,3.0,0.3622367098047906,0.6915555555555556
amm,fundamental,liquidity_buffer,0.75,0.5,0.02252710560727224,0.10053742968597479,-0.09489750657958822,0.01235962696327884,0.9,0.37208638982166103,1.0
