Outcome,Term,Coefficient,StdError,NormalApproxP,CI95Low,CI95High,StandardisedEffect
realised_volatility,Intercept,0.01810610238112287,0.0010937130384632554,0.0,0.015962424825734886,0.02024977993651085,0.8490455983584436
realised_volatility,participation,0.02397347075566285,0.0017971219989684007,0.0,0.020451111637684784,0.027495829873640912,0.3142550338817577
realised_volatility,similarity,-0.00047182341034861415,0.0012021163605215874,0.6946932735287785,-0.0028279714769709253,0.001884324656273697,-0.008146938922992255
realised_volatility,participation_x_similarity,0.011935019275409277,0.0025702328914899496,3.4246381530600445e-06,0.006897362808088976,0.01697267574272958,0.12091573766122667
realised_volatility,amm,-0.011365754244662414,0.0008851872791085346,0.0,-0.013100721311715142,-0.009630787177609686,-0.266516793825732
realised_volatility,participation_x_amm,-0.01959324911193188,0.0018926100123170138,0.0,-0.023302764736073227,-0.015883733487790534,-0.2503338579904198
realised_volatility,shock_liquidity,0.007014918439145337,0.0006478907476913491,0.0,0.005745052573670292,0.008284784304620381,0.15508603170619212
realised_volatility,shock_volatility,0.0020438234482365574,0.0006478907476913483,0.0016072909005715452,0.0007739575827615146,0.0033136893137116,0.04518491139202633
realised_volatility,safeguard_circuit_breaker,0.006968412314417125,0.0009162558823211513,2.842170943040401e-14,0.005172550785067669,0.008764273843766582,0.12179344244245138
realised_volatility,safeguard_execution_delay,0.0007444631112657057,0.0009162558823211512,0.41650152709318666,-0.0010513984180837506,0.002540324640615162,0.013011676261589321
realised_volatility,safeguard_liquidity_buffer,0.0013510278713498415,0.0009162558823211512,0.1403445004015249,-0.0004448336579996148,0.003146889400699298,0.023613174402289664
realised_volatility,safeguard_none,0.010548443596793165,0.0009162558823211512,0.0,0.008752582067443709,0.01234430512614262,0.18436498876587137
realised_volatility,safeguard_position_limit,0.006936671390513722,0.0009162558823211512,3.708144902248023e-14,0.005140809861164266,0.008732532919863178,0.12123867670614426
maximum_drawdown,Intercept,0.07321502313065423,0.0032597961463652673,0.0,0.0668258226837783,0.07960422357753015,1.2782026321032514
maximum_drawdown,participation,0.07373728883834058,0.0053562965428451854,0.0,0.06323894761436401,0.08423563006231714,0.35985865768435854
maximum_drawdown,similarity,-0.0011350173354052091,0.003582890705058156,0.7514043527429037,-0.008157483117319194,0.005887448446508776,-0.007296438567556129
maximum_drawdown,participation_x_similarity,0.013990489756678836,0.00766054255576261,0.06780428172153785,-0.0010241736526158795,0.029005153165973553,0.052769877172491396
maximum_drawdown,amm,0.007958792873187147,0.0026382880881660993,0.0025558437398325307,0.002787748220381592,0.013129837525992703,0.06948114740016026
