Date,SPY,QQQ,GLD,TLT,USO
2010-01-04,18.59416839645703,17.955828622873906,16.60200834906214,14.855469197838541,14.170410527567666
2010-01-05,18.530251484163294,17.957622539308122,16.46967463250868,14.859877831779988,14.082690133268095
2010-01-06,18.56974192278518,18.380202440363615,17.033662120617905,15.226399965939544,14.721235669733646
2010-01-07,18.691403059320418,18.160537311610636,16.426300679442527,14.842698449954018,14.041021704312124
2010-01-08,18.654984191330417,18.302871957964445,16.58148998686412,14.883904160048383,13.976087402835933
2010-01-11,18.482487725329698,18.466355584345447,16.663496599364002,14.595431587306258,13.93061266982042
2010-01-12,18.91130468080848,18.322780111821718,17.1890831992143,15.279043699424967,14.217645460421291
2010-01-13,18.902007523679284,18.427268993695886,16.81194258663254,15.374707253961628,14.477083476607628
2010-01-14,18.566673668160163,18.135781462609952,16.72270119336694,15.247924854697718,13.88502542652038
2010-01-15,19.1734313191714,18.658510325665603,16.706032304611565,15.23688244569686,14.27097969638278
2010-01-19,18.75122616594076,18.250938139365257,16.163852648296047,14.730200008471455,13.837798330022718
2010-01-20,19.193055838793388,18.796922993383628,16.679709441556415,14.845308530632025,14.173124161224473
2010-01-21,19.658647935644616,19.138225859543173,17.06388304722117,15.288693371852256,14.354719536122035
2010-01-22,19.661782845175228,18.95775114093759,17.00228045943029,15.114857176433464,14.62097609218948
2010-01-25,19.04628489435444,18.853882282817285,16.395765265627094,14.69907146521551,13.939098932208893
2010-01-26,19.168168371610903,18.762968182322297,16.32487402018625,14.959128079198845,13.944882185751094
2010-01-27,19.42081102789361,18.900837035066118,16.76021792216486,15.017190736230326,14.430986965588051
2010-01-28,19.57158183132913,19.21566132721398,16.636526283200354,14.933337065556188,14.18613436262352
2010-01-29,19.55426627649554,19.172566533630256,16.825086563338914,15.410971242467514,14.400432010953118
2010-02-01,19.05123417774124,18.734228642948832,16.516999279564637,15.096027649929995,14.0824221599107
2010-02-02,19.19230587012245,18.522584592213192,16.475224491870232,14.929832140337563,14.420563957765111
2010-02-03,18.96724429222885,18.354344340926623,16.410257673431808,15.491428854898286,14.626757612870813
2010-02-04,19.692449663938582,18.83710227729104,17.504187491572317,15.622979320897509,14.773303245132952
2010-02-05,20.01720726190825,19.179702739910873,17.301560599372824,15.743518558383549,15.115140209271253
2010-02-08,19.22790142166381,18.362568463561626,16.659058550394533,15.035159841675217,14.242288916508612
2010-02-09,19.638025247293527,18.594264234803035,17.072036632684334,15.382040969387099,14.28151432340972
2010-02-10,19.298278463414707,18.359899422359163,16.601459631905893,15.438456820423166,14.070365931913164
2010-02-11,19.22533173145548,18.348656138543785,16.778208145385367,15.442297108732987,14.21927421943268
2010-02-12,19.53458254996281,18.35815087079672,16.487187188952124,14.857129125112264,14.266928793784004
2010-02-16,18.88640962446492,18.24467599405836,16.855053954140534,14.707877381719056,14.453416133490755
2010-02-17,18.94449228453467,18.23062979220029,16.790703332799012,15.289861582904448,14.070985762641747
2010-02-18,19.081865525946103,18.00140977196655,16.769243060357983,15.449016497732075,14.518434787038137
2010-02-19,19.22126832570786,18.20272993697425,16.903306839111206,15.0689875571933,14.563276123665252
2010-02-22,18.70093706362034,18.092940274254598,16.189746320701673,15.03415520252208,14.168673441833663
2010-02-23,19.150627439699186,18.3779235447976,16.42775445621347,15.515611505295617,14.15772555901731
2010-02-24,18.987985184017532,18.276706442034975,16.66085008181833,15.30237397400586,14.035980939541808
2010-02-25,19.374786201041825,18.40008306068293,16.968263674198923,15.125922296245937,14.372293766503295
2010-02-26,18.97220272234625,18.00852933225356,16.383064213603202,15.285479485107098,13.94503593722137
2010-03-01,18.81075941900802,18.163076432910653,16.36736688222197,14.697292657374765,14.0084117854893
