Date,SPY,QQQ,GLD,TLT,USO
2010-01-04,84.57848358154297,40.246551513671875,109.80000305175781,55.504547119140625,322.1600036621094
2010-01-05,84.80240631103516,40.246551513671875,109.69999694824219,55.86296844482422,323.2799987792969
2010-01-06,84.86207580566406,40.00379180908203,111.51000213623047,55.115169525146484,327.760009765625
2010-01-07,85.22030639648438,40.02981185913086,110.81999969482422,55.20789337158203,325.760009765625
2010-01-08,85.50389862060547,40.35926818847656,111.37000274658203,55.18315505981445,327.44000244140625
2010-01-11,85.62328338623047,40.194541931152344,112.8499984741211,54.88032150268555,324.32000732421875
2010-01-12,84.82477569580078,39.69167709350586,110.48999786376953,55.81975555419922,317.0400085449219
2010-01-13,85.54122161865234,40.18587875366211,111.54000091552734,55.17080307006836,313.67999267578125
2010-01-14,85.77255249023438,40.220542907714844,112.02999877929688,55.94333267211914,312.4800109863281
2010-01-15,84.8098373413086,39.752349853515625,110.86000061035156,56.28942108154297,307.20001220703125
2010-01-19,85.86956024169922,40.39393997192383,111.5199966430664,56.12871551513672,311.44000244140625
2010-01-20,84.99638366699219,39.81306457519531,108.94000244140625,56.69733810424805,303.1199951171875
2010-01-21,83.36198425292969,39.440250396728516,107.37000274658203,56.95687484741211,297.9200134277344
2010-01-22,81.50370025634766,38.2871208190918,107.16999816894531,56.85804748535156,290.7200012207031
2010-01-25,81.92163848876953,38.417144775390625,107.4800033569336,56.59841537475586,294.4800109863281
2010-01-26,81.57831573486328,38.45184326171875,107.55999755859375,56.616966247558594,292.0
2010-01-27,81.96642303466797,38.755313873291016,106.52999877929688,56.586090087890625,288.6400146484375
2010-01-28,81.02606964111328,37.75823974609375,106.4800033569336,56.5551872253418,289.2799987792969
2010-01-29,80.14542388916016,37.09931564331055,105.95999908447266,57.04960632324219,285.1199951171875
2010-02-01,81.39178466796875,37.506813049316406,108.3499984741211,56.53175354003906,293.760009765625
2010-02-02,82.37688446044922,37.84494400024414,109.12999725341797,56.69295883178711,300.239990234375
2010-02-03,81.96642303466797,38.053009033203125,108.69999694824219,56.03557205200195,301.20001220703125
2010-02-04,79.43644714355469,36.951934814453125,104.37000274658203,56.92245864868164,286.3999938964844
2010-02-05,79.60061645507812,37.2640495300293,104.68000030517578,57.046504974365234,281.67999267578125
2010-02-08,79.02599334716797,36.99528121948242,104.04000091552734,57.12092590332031,280.7200012207031
2010-02-09,80.01856994628906,37.376766204833984,105.41000366210938,56.55036926269531,289.67999267578125
2010-02-10,79.86183166503906,37.298736572265625,105.12000274658203,56.010738372802734,292.0799865722656
2010-02-11,80.69771575927734,37.86227798461914,107.12999725341797,55.70684814453125,294.239990234375
2010-02-12,80.63055419921875,37.94031524658203,107.04000091552734,55.93634033203125,290.4800109863281
2010-02-16,81.89927673339844,38.42585372924805,109.62000274658203,56.041725158691406,302.32000732421875
2010-02-17,82.28732299804688,38.64259338378906,109.25,55.402915954589844,303.760009765625
2010-02-18,82.7724380493164,38.885353088378906,109.9800033569336,55.179656982421875,309.8399963378906
2010-02-19,82.94409942626953,38.86802673339844,109.47000122070312,55.47737121582031,312.7200012207031
2010-02-22,82.95899963378906,38.78999328613281,109.06999969482422,55.24790954589844,312.239990234375
2010-02-23,81.95148468017578,38.2871208190918,107.88999938964844,56.10997772216797,306.6400146484375
2010-02-24,82.70523834228516,38.67728042602539,107.36000061035156,56.24637985229492,311.9200134277344
2010-02-25,82.59329986572266,38.668601989746094,108.30999755859375,56.562721252441406,304.8800048828125
2010-02-26,82.64555358886719,38.80733108520508,109.43000030517578,56.85424041748047,310.55999755859375
2010-03-01,83.50377655029297,39.370880126953125,109.43000030517578,56.829368591308594,306.79998779296875
