candidate_id,price_impact_multiplier,depth_multiplier,liquidity_withdrawal_strength,background_order_multiplier,reaction_time_heterogeneity,volatility_error,drawdown_error,correlation_error,autocorrelation_error,tail_error,weighted_loss
38,0.25,1.25,0.25,0.5,0.35,0.017474119685237315,0.44172215531770254,0.016513763291348522,0.0502150440369399,0.6393092615564605,0.21001406571849168
44,0.25,1.25,0.5,0.5,0.35,0.01747158490025317,0.44172276336536614,0.016513278855401763,0.05022842777687828,0.6393142565116545,0.21001522867961941
50,0.25,1.25,0.75,0.5,0.35,0.017469052722495545,0.4417233139165601,0.01651279733258532,0.050241799326298374,0.639319235019931,0.21001637289285674
20,0.25,1.0,0.25,0.5,0.35,0.017402263781401514,0.44185959598345975,0.016503862992422607,0.050619721162068164,0.639484022966897,0.2100897049408394
26,0.25,1.0,0.5,0.5,0.35,0.01739903542852085,0.44185935353963723,0.01650326277996959,0.0506365229630444,0.6394902379270824,0.21009084533545397
32,0.25,1.0,0.75,0.5,0.35,0.017395809738895835,0.44185904347010146,0.016502666213279917,0.05065331027494543,0.6394964324538592,0.2100919634782356
40,0.25,1.25,0.25,0.75,0.35,0.01732891425802587,0.44197270740278743,0.016494145016088303,0.05102738102431068,0.6396582605165436,0.21015787965554705
46,0.25,1.25,0.5,0.75,0.35,0.01732468999843919,0.44197120685572033,0.01649337443328126,0.05104910251792201,0.6396665145121144,0.21015900564590773
52,0.25,1.25,0.75,0.75,0.35,0.01732046893792033,0.4419696289320981,0.016492608801767075,0.051070801752890915,0.639674735931534,0.21016010488980147
37,0.25,1.25,0.25,0.5,0.0,0.017494599700725835,0.442205172094506,0.01653170084148502,0.050267886929429115,0.6392809698135927,0.21017115738116876
43,0.25,1.25,0.5,0.5,0.0,0.017492236838737376,0.4422106300013299,0.016531488088380432,0.05028178280193084,0.6392836108462201,0.21017369703451133
49,0.25,1.25,0.75,0.5,0.0,0.017489876522660985,0.4422160219255825,0.016531277244062843,0.05029566677619137,0.639286245583446,0.21017621621924937
2,0.25,0.75,0.25,0.5,0.35,0.017279803205390167,0.44203499174327626,0.016487895068930815,0.05129753494711749,0.6397722494340223,0.2101989959365001
8,0.25,0.75,0.5,0.5,0.35,0.017275364978249462,0.44203242812213067,0.016487106550794297,0.05132010004890939,0.6397804686216588,0.21019981610732974
14,0.25,0.75,0.75,0.5,0.35,0.01727092895800861,0.442029786479959,0.01648632289979499,0.05134264754440959,0.6397886606990608,0.21020061003569634
22,0.25,1.0,0.25,0.75,0.35,0.01721694513172505,0.4420969996776516,0.016480090233206506,0.05163989335374468,0.6399159595882586,0.2102457867836546
28,0.25,1.0,0.5,0.75,0.35,0.017211518880062653,0.44209285404449117,0.016479139825612166,0.05166722553656392,0.6399262041106322,0.2102464828072082
34,0.25,1.0,0.75,0.75,0.35,0.017206095075718637,0.4420886260484986,0.01647819561205233,0.05169453190385902,0.639936407901096,0.2102471494401711
92,0.5,1.25,0.25,0.5,0.35,0.017179396687792843,0.4421282325783206,0.016475600352001796,0.05184284491826206,0.6400000366717519,0.21027169700923581
42,0.25,1.25,0.25,1.0,0.35,0.017178625237444352,0.44212751078133916,0.01647545040935557,0.051846823529900096,0.6400022706630422,0.2102718403068004
98,0.5,1.25,0.5,0.5,0.35,0.017173941636386643,0.4421235616832262,0.01647466532256807,0.05187008183688287,0.640009831256271,0.21027217536971282
48,0.25,1.25,0.5,1.0,0.35,0.017172400852547228,0.4421221156947238,0.016474367290141484,0.05187802068507698,0.6400142738538834,0.2102724578761056
104,0.5,1.25,0.75,0.5,0.35,0.01716848792192436,0.4421188106434203,0.016473736136201005,0.05189729932344981,0.6400195932998747,0.21027262605917607
54,0.25,1.25,0.75,1.0,0.35,0.01716617969548522,0.44211663716282334,0.01647329173415054,0.05190918107092781,0.6400262206105586,0.2102730435724713
19,0.25,1.0,0.25,0.5,0.0,0.01742800110556291,0.4424609948516006,0.016526304803101917,0.050685905522890776,0.6394478047510996,0.21028533077516853
25,0.25,1.0,0.5,0.5,0.0,0.01742499054337236,0.442466753097451,0.01652604567101879,0.05070335009009349,0.6394510384507973,0.21028817108053985
31,0.25,1.0,0.75,0.5,0.0,0.017421982596560154,0.4424724317852825,0.01652578895296552,0.05072078055958625,0.6394542636985607,0.21029098653096062
74,0.5,1.0,0.25,0.5,0.35,0.01702470773187659,0.44228572837133073,0.016457958052478624,0.05266599527329002,0.6403369481623183,0.21038501678501872
4,0.25,0.75,0.25,0.75,0.35,0.017024207754551147,0.4422860974419856,0.016457865960910784,0.052668507768900086,0.6403383404066727,0.21038534956870047
24,0.25,1.0,0.25,1.0,0.35,0.017023708103253085,0.4422864667437931,0.016457774011687958,0.05267101844553871,0.6403397311893213,0.21038568221993745
80,0.5,1.0,0.5,0.5,0.35,0.017017645058916113,0.4422895488534163,0.016456810023672934,0.05270034456159771,0.6403490555418434,0.21038846018877844
10,0.25,0.75,0.5,0.75,0.35,0.017016645792655112,0.442290284045405,0.0164566268671409,0.05270536025451787,0.6403518253821443,0.21038912288851241
30,0.25,1.0,0.5,1.0,0.35,0.0170156477969687,0.44229102001836784,0.016456444259641923,0.05271036884105105,0.6403545895497684,0.2103897850356113
39,0.25,1.25,0.25,0.75,0.0,0.01735999217695443,0.44268958887435916,0.016521135438229206,0.05110699481372564,0.6396133959683219,0.2103911404812447
86,0.5,1.0,0.75,0.5,0.35,0.01701058154759618,0.4422932960377272,0.016455669294938073,0.052734672849006216,0.6403611219380324,0.2103918766132885
16,0.25,0.75,0.75,0.75,0.35,0.01700908356025787,0.4422943941329448,0.01645539603055904,0.05274218297673431,0.6403652555355349,0.21039286636529952
36,0.25,1.0,0.75,1.0,0.35,0.017007588360701896,0.4422954936890228,0.01645512395933404,0.052749677475841895,0.6403693767410199,0.2103938548284704
45,0.25,1.25,0.5,0.75,0.0,0.01735606009249485,0.4426955246235317,0.016520810220496396,0.051129525843537846,0.6396177153440802,0.21039436157766903
51,0.25,1.25,0.75,0.75,0.0,0.01735213102428472,0.4427013613735536,0.016520488031051956,0.05115203551545775,0.6396220209837935,0.21039755097548699
