market,participation,similarity,shock,safeguard,seed,realised_volatility,maximum_drawdown,mean_pairwise_correlation,peak_herding,peak_asset_herding,mean_depth,mean_spread_or_cost,mean_absolute_order_flow,normalised_liquidity_deterioration,recovery_time,price_recovery_time,volatility_recovery_time,liquidity_recovery_time,pre_volatility,pre_correlation,pre_depth,pre_price_level,shock_volatility,shock_correlation,shock_depth,shock_price_level,recovery_volatility,recovery_correlation,recovery_depth,recovery_price_level
traditional,0.0,0.0,fundamental,none,11,0.024721615239606042,0.08878241064513963,0.09789220840190822,0.0,0.0,1.2393042663888951,0.0009798860239903608,0.02020871819243049,0.0014196707577712742,0.0,0.0,2.0,0.0,0.015493426180072059,0.17511953738580946,1.2399895553087408,103.47835888130106,0.020824596713442684,0.12438858127884786,1.2383455045795786,101.53645482858836,0.012401923460994427,0.1934996604611798,1.2402630281982119,100.32321927027962
traditional,0.0,0.0,fundamental,none,29,0.029812208206632752,0.08860463048167778,0.08342575917030778,0.0,0.0,1.2386242464575181,0.0009926468768427315,0.021729979804863922,0.0020818227401290246,0.0,0.0,7.0,0.0,0.01386052012509582,0.07031561406173392,1.2421374716095674,99.97185129203761,0.02349721036808755,0.2066208296330844,1.23934891647287,97.71701434628896,0.017164795558106363,0.03168849002849527,1.237899576442166,97.63476036329612
traditional,0.0,0.0,fundamental,none,47,0.027938362755567426,0.1021955650966913,0.08911716921480095,0.0,0.0,1.2392480236808334,0.00098388669062084,0.022110082256179907,-0.00021971244047058747,8.0,0.0,8.0,0.0,0.014735622121149839,0.0014872696517109762,1.2387345370612914,100.11896363550302,0.022169441949200553,0.17683176404173254,1.2393837307862772,97.80978103414309,0.015742317774393076,0.11062066302774269,1.2391123165753897,94.65926110130762
traditional,0.0,0.0,fundamental,none,71,0.029610898400521744,0.12579897965668177,0.034511741705817806,0.0,0.0,1.23844573200016,0.0009938780391517098,0.020760413507722685,0.0012081573523786693,1.0,0.0,3.0,0.0,0.017094852711792934,0.34010158691232834,1.23992059081592,96.7080809735398,0.021727714190766897,0.09237117655890682,1.238431125538116,95.361084321383,0.018845645573974917,0.05518887310829197,1.2384603384622046,93.43587541327993
traditional,0.0,0.0,fundamental,none,101,0.025258695290277695,0.1051325756729509,0.06896117679470475,0.0,0.0,1.2399887128682676,0.0009748466592224639,0.019299642415130203,-0.0005506651047435529,11.0,0.0,3.0,0.0,0.015853312567410942,0.15053887169292335,1.2394238819875907,97.94587430415078,0.020035062968229583,0.05298687885674942,1.2399594657183994,95.89552110275541,0.014360740501202332,0.2491238645334292,1.2400179600181358,93.4550326497688
traditional,0.0,0.0,fundamental,none,131,0.031752123979903436,0.1297856785999711,0.07036848273858429,0.0,0.0,1.2373843381782836,0.0010021936442778762,0.022341514977533273,0.002446870316383354,6.0,0.0,2.0,0.0,0.015407630753588886,0.051083695209454216,1.2402601122446835,97.21362367961656,0.0263884633749308,0.10639290989685417,1.2370063169043037,95.21060946591821,0.01689868668795249,0.20404330144399624,1.2377623594522635,92.29752748953786
traditional,0.0,0.0,fundamental,none,173,0.02528871100836988,0.09178388154708855,0.14941294446894063,0.0,0.0,1.2400592228668526,0.0009749338692753079,0.01869123462372106,0.0007639945223256728,3.0,0.0,7.0,0.0,0.01563607827976076,0.20549750161396801,1.2406095905688812,103.88004619357281,0.02033123214776807,0.2003787369522533,1.2398013238807613,100.28240207738992,0.013462594728281254,0.14479593477119274,1.2403171218529438,98.56637003667747
traditional,0.0,0.0,fundamental,none,211,0.030028994193291504,0.07922110572683691,0.0844901841205822,0.0,0.0,1.2374761310011266,0.0010003688810350686,0.022061065643485474,0.0016442824016235091,4.0,0.0,7.0,0.0,0.016994196630013204,0.10694982343437716,1.2406413317392617,101.28691266679748,0.024013608464754116,0.1918688247902691,1.238172195807357,100.71100196520533,0.01742368072433318,0.10256534631671958,1.2367800661948962,100.38923182059844
traditional,0.0,0.0,fundamental,none,257,0.02573487196498466,0.08635208625574353,0.030594867610872184,0.0,0.0,1.2402373513508214,0.0009748007635514691,0.019001492010335404,-0.0012272834650164377,1.0,0.0,7.0,0.0,0.014267619759726574,0.24926720847821623,1.23885038532919,102.92221710837843,0.018481191520047076,0.004564949237631666,1.2407433829298218,100.1858179297624,0.016250084492875676,0.1062359160168355,1.239731319771821,98.77870041102604
traditional,0.0,0.0,fundamental,none,307,0.02926500656524194,0.12035251379287719,-0.006744787642354732,0.0,0.0,1.2382535386903704,0.0009883804832400674,0.02232305622737746,-0.0002704988243686923,3.0,0.0,0.0,0.0,0.01948700215334497,0.1635088061085272,1.2368468071932888,101.4449810483652,0.025701523099859274,0.033060717778260904,1.2370100949440084,100.6383245943561,0.013047734369161835,0.06870267675789823,1.2394969824367323,96.8212673765464
