market,participation,similarity,shock,safeguard,realised_volatility_mean,realised_volatility_std,realised_volatility_count,maximum_drawdown_mean,maximum_drawdown_std,maximum_drawdown_count,mean_pairwise_correlation_mean,mean_pairwise_correlation_std,mean_pairwise_correlation_count,peak_herding_mean,peak_herding_std,peak_herding_count,peak_asset_herding_mean,peak_asset_herding_std,peak_asset_herding_count,mean_depth_mean,mean_depth_std,mean_depth_count,mean_spread_or_cost_mean,mean_spread_or_cost_std,mean_spread_or_cost_count,mean_absolute_order_flow_mean,mean_absolute_order_flow_std,mean_absolute_order_flow_count,normalised_liquidity_deterioration_mean,normalised_liquidity_deterioration_std,normalised_liquidity_deterioration_count,recovery_time_mean,recovery_time_std,recovery_time_count,price_recovery_time_mean,price_recovery_time_std,price_recovery_time_count,volatility_recovery_time_mean,volatility_recovery_time_std,volatility_recovery_time_count,liquidity_recovery_time_mean,liquidity_recovery_time_std,liquidity_recovery_time_count,pre_volatility_mean,pre_volatility_std,pre_volatility_count,pre_correlation_mean,pre_correlation_std,pre_correlation_count,pre_depth_mean,pre_depth_std,pre_depth_count,pre_price_level_mean,pre_price_level_std,pre_price_level_count,shock_volatility_mean,shock_volatility_std,shock_volatility_count,shock_correlation_mean,shock_correlation_std,shock_correlation_count,shock_depth_mean,shock_depth_std,shock_depth_count,shock_price_level_mean,shock_price_level_std,shock_price_level_count,recovery_volatility_mean,recovery_volatility_std,recovery_volatility_count,recovery_correlation_mean,recovery_correlation_std,recovery_correlation_count,recovery_depth_mean,recovery_depth_std,recovery_depth_count,recovery_price_level_mean,recovery_price_level_std,recovery_price_level_count,realised_volatility_ci95,maximum_drawdown_ci95,mean_pairwise_correlation_ci95,peak_herding_ci95,peak_asset_herding_ci95,mean_depth_ci95,mean_spread_or_cost_ci95,mean_absolute_order_flow_ci95,normalised_liquidity_deterioration_ci95,recovery_time_ci95,price_recovery_time_ci95,volatility_recovery_time_ci95,liquidity_recovery_time_ci95,pre_volatility_ci95,pre_correlation_ci95,pre_depth_ci95,pre_price_level_ci95,shock_volatility_ci95,shock_correlation_ci95,shock_depth_ci95,shock_price_level_ci95,recovery_volatility_ci95,recovery_correlation_ci95,recovery_depth_ci95,recovery_price_level_ci95
amm,0.0,0.0,fundamental,all,0.017115638563469884,0.0018493763886049477,10,0.09789694184878606,0.015160123553054974,10,0.05506983295692421,0.06318215744184542,10,0.0,0.0,10,0.0,0.0,10,34.19526263443142,0.2788068407197426,10,0.004379741177169478,0.00017400224642505902,10,0.01970668319371429,0.0014645254027816118,10,0.012248049997847765,0.0015148633697462304,10,5.5,6.603870918719649,10,0.0,0.0,10,11.8,5.43241300999023,10,0.0,0.0,10,0.007927018337696375,0.001013979028354649,10,0.1135423697353426,0.14646697358136343,10,34.8447447381013,0.2967418166006994,10,101.33748222408467,1.7373940622442205,10,0.014087497064603221,0.0017939665445108066,10,0.06411743002769314,0.1024250950081127,10,34.41764890132542,0.2676340958285384,10,98.82502322221413,1.528636716284008,10,0.008227919371269115,0.0011593765983043019,10,0.101736237165817,0.07173597336556763,10,33.972876367537424,0.30202337802408363,10,96.47520560737397,1.6878444727981228,10,0.0011462553612299469,0.00939634192729477,0.03916070689991946,0.0,0.0,0.17280627020639247,0.00010784770967105917,0.0009077222489372161,0.0009389220441017555,4.093121601472944,0.0,3.367044467250833,0.0,0.0006284707129320486,0.09078117074772828,0.18392248342493814,1.0768479962690414,0.0011119119840520132,0.06348373159781659,0.16588133117823822,0.9474588527299412,0.0007185890604417817,0.044462416936856194,0.18719602911013322,1.0461368425529631
amm,0.0,0.0,fundamental,circuit_breaker,0.017115638563469884,0.0018493763886049477,10,0.09789694184878606,0.015160123553054974,10,0.05506983295692421,0.06318215744184542,10,0.0,0.0,10,0.0,0.0,10,34.19526263443142,0.2788068407197426,10,0.004379741177169478,0.00017400224642505902,10,0.01970668319371429,0.0014645254027816118,10,0.012248049997847765,0.0015148633697462304,10,5.5,6.603870918719649,10,0.0,0.0,10,11.8,5.43241300999023,10,0.0,0.0,10,0.007927018337696375,0.001013979028354649,10,0.1135423697353426,0.14646697358136343,10,34.8447447381013,0.2967418166006994,10,101.33748222408467,1.7373940622442205,10,0.014087497064603221,0.0017939665445108066,10,0.06411743002769314,0.1024250950081127,10,34.41764890132542,0.2676340958285384,10,98.82502322221413,1.528636716284008,10,0.008227919371269115,0.0011593765983043019,10,0.101736237165817,0.07173597336556763,10,33.972876367537424,0.30202337802408363,10,96.47520560737397,1.6878444727981228,10,0.0011462553612299469,0.00939634192729477,0.03916070689991946,0.0,0.0,0.17280627020639247,0.00010784770967105917,0.0009077222489372161,0.0009389220441017555,4.093121601472944,0.0,3.367044467250833,0.0,0.0006284707129320486,0.09078117074772828,0.18392248342493814,1.0768479962690414,0.0011119119840520132,0.06348373159781659,0.16588133117823822,0.9474588527299412,0.0007185890604417817,0.044462416936856194,0.18719602911013322,1.0461368425529631
amm,0.0,0.0,fundamental,execution_delay,0.017115638563469884,0.0018493763886049477,10,0.09789694184878606,0.015160123553054974,10,0.05506983295692421,0.06318215744184542,10,0.0,0.0,10,0.0,0.0,10,34.19526263443142,0.2788068407197426,10,0.004379741177169478,0.00017400224642505902,10,0.01970668319371429,0.0014645254027816118,10,0.012248049997847765,0.0015148633697462304,10,5.5,6.603870918719649,10,0.0,0.0,10,11.8,5.43241300999023,10,0.0,0.0,10,0.007927018337696375,0.001013979028354649,10,0.1135423697353426,0.14646697358136343,10,34.8447447381013,0.2967418166006994,10,101.33748222408467,1.7373940622442205,10,0.014087497064603221,0.0017939665445108066,10,0.06411743002769314,0.1024250950081127,10,34.41764890132542,0.2676340958285384,10,98.82502322221413,1.528636716284008,10,0.008227919371269115,0.0011593765983043019,10,0.101736237165817,0.07173597336556763,10,33.972876367537424,0.30202337802408363,10,96.47520560737397,1.6878444727981228,10,0.0011462553612299469,0.00939634192729477,0.03916070689991946,0.0,0.0,0.17280627020639247,0.00010784770967105917,0.0009077222489372161,0.0009389220441017555,4.093121601472944,0.0,3.367044467250833,0.0,0.0006284707129320486,0.09078117074772828,0.18392248342493814,1.0768479962690414,0.0011119119840520132,0.06348373159781659,0.16588133117823822,0.9474588527299412,0.0007185890604417817,0.044462416936856194,0.18719602911013322,1.0461368425529631
amm,0.0,0.0,fundamental,liquidity_buffer,0.017115638563469884,0.0018493763886049477,10,0.09789694184878606,0.015160123553054974,10,0.05506983295692421,0.06318215744184542,10,0.0,0.0,10,0.0,0.0,10,34.19526263443142,0.2788068407197426,10,0.004379741177169478,0.00017400224642505902,10,0.01970668319371429,0.0014645254027816118,10,0.012248049997847765,0.0015148633697462304,10,5.5,6.603870918719649,10,0.0,0.0,10,11.8,5.43241300999023,10,0.0,0.0,10,0.007927018337696375,0.001013979028354649,10,0.1135423697353426,0.14646697358136343,10,34.8447447381013,0.2967418166006994,10,101.33748222408467,1.7373940622442205,10,0.014087497064603221,0.0017939665445108066,10,0.06411743002769314,0.1024250950081127,10,34.41764890132542,0.2676340958285384,10,98.82502322221413,1.528636716284008,10,0.008227919371269115,0.0011593765983043019,10,0.101736237165817,0.07173597336556763,10,33.972876367537424,0.30202337802408363,10,96.47520560737397,1.6878444727981228,10,0.0011462553612299469,0.00939634192729477,0.03916070689991946,0.0,0.0,0.17280627020639247,0.00010784770967105917,0.0009077222489372161,0.0009389220441017555,4.093121601472944,0.0,3.367044467250833,0.0,0.0006284707129320486,0.09078117074772828,0.18392248342493814,1.0768479962690414,0.0011119119840520132,0.06348373159781659,0.16588133117823822,0.9474588527299412,0.0007185890604417817,0.044462416936856194,0.18719602911013322,1.0461368425529631
amm,0.0,0.0,fundamental,none,0.017115638563469884,0.0018493763886049477,10,0.09789694184878606,0.015160123553054974,10,0.05506983295692421,0.06318215744184542,10,0.0,0.0,10,0.0,0.0,10,34.19526263443142,0.2788068407197426,10,0.004379741177169478,0.00017400224642505902,10,0.01970668319371429,0.0014645254027816118,10,0.012248049997847765,0.0015148633697462304,10,5.5,6.603870918719649,10,0.0,0.0,10,11.8,5.43241300999023,10,0.0,0.0,10,0.007927018337696375,0.001013979028354649,10,0.1135423697353426,0.14646697358136343,10,34.8447447381013,0.2967418166006994,10,101.33748222408467,1.7373940622442205,10,0.014087497064603221,0.0017939665445108066,10,0.06411743002769314,0.1024250950081127,10,34.41764890132542,0.2676340958285384,10,98.82502322221413,1.528636716284008,10,0.008227919371269115,0.0011593765983043019,10,0.101736237165817,0.07173597336556763,10,33.972876367537424,0.30202337802408363,10,96.47520560737397,1.6878444727981228,10,0.0011462553612299469,0.00939634192729477,0.03916070689991946,0.0,0.0,0.17280627020639247,0.00010784770967105917,0.0009077222489372161,0.0009389220441017555,4.093121601472944,0.0,3.367044467250833,0.0,0.0006284707129320486,0.09078117074772828,0.18392248342493814,1.0768479962690414,0.0011119119840520132,0.06348373159781659,0.16588133117823822,0.9474588527299412,0.0007185890604417817,0.044462416936856194,0.18719602911013322,1.0461368425529631
amm,0.0,0.0,fundamental,position_limit,0.017115638563469884,0.0018493763886049477,10,0.09789694184878606,0.015160123553054974,10,0.05506983295692421,0.06318215744184542,10,0.0,0.0,10,0.0,0.0,10,34.19526263443142,0.2788068407197426,10,0.004379741177169478,0.00017400224642505902,10,0.01970668319371429,0.0014645254027816118,10,0.012248049997847765,0.0015148633697462304,10,5.5,6.603870918719649,10,0.0,0.0,10,11.8,5.43241300999023,10,0.0,0.0,10,0.007927018337696375,0.001013979028354649,10,0.1135423697353426,0.14646697358136343,10,34.8447447381013,0.2967418166006994,10,101.33748222408467,1.7373940622442205,10,0.014087497064603221,0.0017939665445108066,10,0.06411743002769314,0.1024250950081127,10,34.41764890132542,0.2676340958285384,10,98.82502322221413,1.528636716284008,10,0.008227919371269115,0.0011593765983043019,10,0.101736237165817,0.07173597336556763,10,33.972876367537424,0.30202337802408363,10,96.47520560737397,1.6878444727981228,10,0.0011462553612299469,0.00939634192729477,0.03916070689991946,0.0,0.0,0.17280627020639247,0.00010784770967105917,0.0009077222489372161,0.0009389220441017555,4.093121601472944,0.0,3.367044467250833,0.0,0.0006284707129320486,0.09078117074772828,0.18392248342493814,1.0768479962690414,0.0011119119840520132,0.06348373159781659,0.16588133117823822,0.9474588527299412,0.0007185890604417817,0.044462416936856194,0.18719602911013322,1.0461368425529631
amm,0.0,0.0,liquidity,all,0.01129877755321146,0.0019352845396127508,10,0.05838939503806363,0.01565855635738045,10,0.09519015422212065,0.04745010334633846,10,0.0,0.0,10,0.0,0.0,10,22.4437599048624,0.1799393414938742,10,0.0038730821571237167,0.00018132692275126108,10,0.01687393930151971,0.0015273141539828541,10,0.25647725090370904,0.0010392300454179694,10,6.3,8.000694414306244,10,0.0,0.0,10,7.1,6.41958807955083,10,260.0,0.0,10,0.007927018337696375,0.001013979028354649,10,0.1135423697353426,0.14646697358136343,10,34.8447447381013,0.2967418166006994,10,101.33748222408467,1.7373940622442205,10,0.007826967618222148,0.0018792579053983787,10,0.08144505211556566,0.10268140087603823,10,25.90761307000825,0.19940662108832272,10,100.93748834420339,1.5632479923243812,10,0.007965456650449561,0.0011391810581477136,10,0.10639946061684535,0.07085737556778587,10,18.979906739716554,0.16794236246429445,10,100.76000785607592,1.7839980501965402,10,0.001199501784874583,0.009705273780048622,0.029409878749822167,0.0,0.0,0.11152755931913153,0.0001123875910926645,0.0009466391201229937,0.0006441214554545989,4.958881773590136,0.0,3.978901914403576,0.0,0.0006284707129320486,0.09078117074772828,0.18392248342493814,1.0768479962690414,0.0011647761172194784,0.06364259162059754,0.12359350421882369,0.9689111438723702,0.000706071734969228,0.04391785637996932,0.10409175467928082,1.1057334472644111
amm,0.0,0.0,liquidity,circuit_breaker,0.01129877755321146,0.0019352845396127508,10,0.05838939503806363,0.01565855635738045,10,0.09519015422212065,0.04745010334633846,10,0.0,0.0,10,0.0,0.0,10,22.4437599048624,0.1799393414938742,10,0.0038730821571237167,0.00018132692275126108,10,0.01687393930151971,0.0015273141539828541,10,0.25647725090370904,0.0010392300454179694,10,6.3,8.000694414306244,10,0.0,0.0,10,7.1,6.41958807955083,10,260.0,0.0,10,0.007927018337696375,0.001013979028354649,10,0.1135423697353426,0.14646697358136343,10,34.8447447381013,0.2967418166006994,10,101.33748222408467,1.7373940622442205,10,0.007826967618222148,0.0018792579053983787,10,0.08144505211556566,0.10268140087603823,10,25.90761307000825,0.19940662108832272,10,100.93748834420339,1.5632479923243812,10,0.007965456650449561,0.0011391810581477136,10,0.10639946061684535,0.07085737556778587,10,18.979906739716554,0.16794236246429445,10,100.76000785607592,1.7839980501965402,10,0.001199501784874583,0.009705273780048622,0.029409878749822167,0.0,0.0,0.11152755931913153,0.0001123875910926645,0.0009466391201229937,0.0006441214554545989,4.958881773590136,0.0,3.978901914403576,0.0,0.0006284707129320486,0.09078117074772828,0.18392248342493814,1.0768479962690414,0.0011647761172194784,0.06364259162059754,0.12359350421882369,0.9689111438723702,0.000706071734969228,0.04391785637996932,0.10409175467928082,1.1057334472644111
amm,0.0,0.0,liquidity,execution_delay,0.01129877755321146,0.0019352845396127508,10,0.05838939503806363,0.01565855635738045,10,0.09519015422212065,0.04745010334633846,10,0.0,0.0,10,0.0,0.0,10,22.4437599048624,0.1799393414938742,10,0.0038730821571237167,0.00018132692275126108,10,0.01687393930151971,0.0015273141539828541,10,0.25647725090370904,0.0010392300454179694,10,6.3,8.000694414306244,10,0.0,0.0,10,7.1,6.41958807955083,10,260.0,0.0,10,0.007927018337696375,0.001013979028354649,10,0.1135423697353426,0.14646697358136343,10,34.8447447381013,0.2967418166006994,10,101.33748222408467,1.7373940622442205,10,0.007826967618222148,0.0018792579053983787,10,0.08144505211556566,0.10268140087603823,10,25.90761307000825,0.19940662108832272,10,100.93748834420339,1.5632479923243812,10,0.007965456650449561,0.0011391810581477136,10,0.10639946061684535,0.07085737556778587,10,18.979906739716554,0.16794236246429445,10,100.76000785607592,1.7839980501965402,10,0.001199501784874583,0.009705273780048622,0.029409878749822167,0.0,0.0,0.11152755931913153,0.0001123875910926645,0.0009466391201229937,0.0006441214554545989,4.958881773590136,0.0,3.978901914403576,0.0,0.0006284707129320486,0.09078117074772828,0.18392248342493814,1.0768479962690414,0.0011647761172194784,0.06364259162059754,0.12359350421882369,0.9689111438723702,0.000706071734969228,0.04391785637996932,0.10409175467928082,1.1057334472644111
amm,0.0,0.0,liquidity,liquidity_buffer,0.01129877755321146,0.0019352845396127508,10,0.05838939503806363,0.01565855635738045,10,0.09519015422212065,0.04745010334633846,10,0.0,0.0,10,0.0,0.0,10,22.4437599048624,0.1799393414938742,10,0.0038730821571237167,0.00018132692275126108,10,0.01687393930151971,0.0015273141539828541,10,0.25647725090370904,0.0010392300454179694,10,6.3,8.000694414306244,10,0.0,0.0,10,7.1,6.41958807955083,10,260.0,0.0,10,0.007927018337696375,0.001013979028354649,10,0.1135423697353426,0.14646697358136343,10,34.8447447381013,0.2967418166006994,10,101.33748222408467,1.7373940622442205,10,0.007826967618222148,0.0018792579053983787,10,0.08144505211556566,0.10268140087603823,10,25.90761307000825,0.19940662108832272,10,100.93748834420339,1.5632479923243812,10,0.007965456650449561,0.0011391810581477136,10,0.10639946061684535,0.07085737556778587,10,18.979906739716554,0.16794236246429445,10,100.76000785607592,1.7839980501965402,10,0.001199501784874583,0.009705273780048622,0.029409878749822167,0.0,0.0,0.11152755931913153,0.0001123875910926645,0.0009466391201229937,0.0006441214554545989,4.958881773590136,0.0,3.978901914403576,0.0,0.0006284707129320486,0.09078117074772828,0.18392248342493814,1.0768479962690414,0.0011647761172194784,0.06364259162059754,0.12359350421882369,0.9689111438723702,0.000706071734969228,0.04391785637996932,0.10409175467928082,1.1057334472644111
