market,participation,similarity,shock,safeguard,seed,realised_volatility,maximum_drawdown,mean_pairwise_correlation,peak_herding,peak_asset_herding,mean_depth,mean_spread_or_cost,mean_absolute_order_flow,normalised_liquidity_deterioration,recovery_time,price_recovery_time,volatility_recovery_time,liquidity_recovery_time,pre_volatility,pre_correlation,pre_depth,pre_price_level,shock_volatility,shock_correlation,shock_depth,shock_price_level,recovery_volatility,recovery_correlation,recovery_depth,recovery_price_level,robustness_case
traditional,0.5,0.9,fundamental,none,11,0.03452376145486885,0.11120804176753729,-0.05911615237465555,0.42857142857142855,1.0,0.9029992350994445,0.0012689208097938199,0.2888916213991568,0.008038272269332625,2.0,0.0,9.0,0.0,0.020813939863199737,0.11233182328159967,0.9102728511179322,99.05429163125584,0.026302889204920875,-0.03344964724674493,0.9042956208161828,96.0796476167037,0.021323635860952157,-0.048908270794189454,0.9017028493827062,94.22471261175502,baseline
traditional,0.5,0.9,fundamental,none,47,0.028988749753244485,0.12315140695567495,0.009760127980006472,0.3691275167785235,1.0,0.9179751408426486,0.0012044506368887808,0.2543694907775251,0.007430948702830231,6.0,0.0,3.0,0.0,0.01683855056049616,0.19459460272026033,0.9249227765510607,96.34206433171904,0.021530945854287643,-0.024196769893583558,0.9168807412410477,93.70436661849506,0.018001993818889072,0.07505821555101475,0.9190695404442496,92.36989231883287,baseline
traditional,0.5,0.9,fundamental,none,101,0.03199644843260485,0.1108359083149372,0.01028291636750429,0.4383561643835616,1.0,0.9078469206024948,0.0012346996084403653,0.2638015334303096,0.003912687483941468,0.0,0.0,0.0,0.0,0.020884068417533746,0.019604709102331974,0.9064110508951276,100.0851672880011,0.023647923286963947,0.00899634504404031,0.903506671339495,98.15995107450465,0.020157157422336484,0.11015732503795381,0.9121871698654946,96.42594768793296,baseline
traditional,0.5,0.9,fundamental,none,173,0.03359693086036952,0.11592699148543786,0.03845770768809977,0.38028169014084506,1.0,0.9066033298732087,0.0012537041143223196,0.27967260154847684,0.005602249845454765,3.0,0.0,15.0,0.0,0.01554264661934741,0.03509928284934281,0.9103348211218847,100.76656562770059,0.026441752418473567,0.1161766240111688,0.9055201343629303,98.3083674786724,0.01985290138537779,0.025300854322183996,0.907686525383487,96.2081438241361,baseline
traditional,0.5,0.9,fundamental,none,257,0.032083906494661106,0.123602753706239,0.07790622573939185,0.4084507042253521,1.0,0.9118817291494209,0.001223455989357375,0.26477695151310043,-0.0039619108849220375,6.0,0.0,7.0,0.0,0.016271621332235538,0.06436767764650315,0.909294280263764,100.00759178949019,0.02691077634257697,0.17979506522043404,0.913900801656917,97.55158769426875,0.016115652305938106,0.06212433657329271,0.9098626566419248,93.83950644717267,baseline
traditional,0.5,0.9,volatility,none,11,0.037457463265387486,0.10845643891556311,-0.009592363794958803,0.3561643835616438,1.0,0.8980213618476128,0.001288828993974777,0.289873142232472,0.016297403003318167,1.0,0.0,4.0,0.0,0.020813939863199737,0.11233182328159967,0.9102728511179322,99.05429163125584,0.033643477798637855,-4.72520692561762e-05,0.8967664031601974,97.49083052910703,0.016121124813441762,-0.018978785269522357,0.899276320535028,96.94325574471462,baseline
traditional,0.5,0.9,volatility,none,47,0.03841927111428969,0.09882876431919037,0.07879000942613838,0.4722222222222222,1.0,0.9005998713967738,0.0012905057736420874,0.289221459091889,0.021205353978105634,3.0,0.0,11.0,0.0,0.01683855056049616,0.19459460272026033,0.9249227765510607,96.34206433171904,0.0318830017719951,0.03998998079199281,0.904156702643991,96.08156688924673,0.02135271872292454,0.1861911649375805,0.8970430401495565,95.90829083830624,baseline
traditional,0.5,0.9,volatility,none,101,0.033123185770487555,0.06158738465250189,0.06910214033076773,0.4166666666666667,1.0,0.9020984761963985,0.0012643737821587426,0.27335323517004506,0.00896003759356967,0.0,0.0,4.0,0.0,0.020884068417533746,0.019604709102331974,0.9064110508951276,100.0851672880011,0.0274835968400296,0.06809449199351827,0.8989284436687539,100.52663212806179,0.018343313449522936,0.07114670949394555,0.9052685087240431,101.85119849016623,baseline
traditional,0.5,0.9,volatility,none,173,0.037684899883902154,0.06227611547795431,0.08400706728975305,0.36551724137931035,1.0,0.8971581623087923,0.0013017634391142734,0.3049596834043258,0.013859325648864718,0.0,0.0,6.0,0.0,0.01554264661934741,0.03509928284934281,0.9103348211218847,100.76656562770059,0.03193541942205233,0.11161255006791773,0.8980010622514069,100.18989951716921,0.019609957095372686,0.02454519431290793,0.8963152623661776,102.02114882526438,baseline
traditional,0.5,0.9,volatility,none,257,0.031796115915729686,0.10166502339265149,0.08143513080237764,0.3959731543624161,1.0,0.9060580805594151,0.0012574780921778405,0.27897916252431626,-0.0003819647561915662,4.0,0.0,15.0,0.0,0.016271621332235538,0.06436767764650315,0.909294280263764,100.00759178949019,0.02609119413493679,0.0666879404546638,0.9106419971131753,100.18983463539605,0.018136976571048496,0.11690721227956327,0.901474164005655,99.31391147434653,baseline
traditional,0.5,0.9,liquidity,none,11,0.4026899129906809,0.6961120361264876,0.7538983194591686,1.0,1.0,0.2939406787299859,0.00755355094409911,0.6382282606606782,0.9709455329648816,12.0,260.0,58.0,31.0,0.020813939863199737,0.11233182328159967,0.9102728511179322,99.05429163125584,0.39904122927261126,0.750818721006868,0.02648673489158989,45.7601416036258,0.04789326429706183,0.2713751989808754,0.561394622568382,46.181919513014364,baseline
traditional,0.5,0.9,liquidity,none,47,0.4029941195222162,0.7033597386190326,0.7253852583272042,1.0,1.0,0.3081054463101082,0.0072775647636278765,0.5850425191744592,0.9710572707672781,12.0,260.0,17.0,28.0,0.01683855056049616,0.19459460272026033,0.9249227765510607,96.34206433171904,0.4004538822860971,0.7062799669917601,0.026735702667493255,48.33373737623637,0.04066875257074474,0.4757384153067334,0.5894751899527232,45.78941633013041,baseline
