robustness_case,market,shock,realised_volatility_mean,realised_volatility_std,realised_volatility_count,maximum_drawdown_mean,maximum_drawdown_std,maximum_drawdown_count,mean_pairwise_correlation_mean,mean_pairwise_correlation_std,mean_pairwise_correlation_count,normalised_liquidity_deterioration_mean,normalised_liquidity_deterioration_std,normalised_liquidity_deterioration_count,recovery_time_mean,recovery_time_std,recovery_time_count
baseline,amm,fundamental,0.024746462900566996,0.0011169411439069733,5,0.11193874819818476,0.013476416652324602,5,-0.0609162692358355,0.03356621876510419,5,0.008265505397593386,0.0035380238180353976,5,4.0,2.7386127875258306,5
baseline,amm,liquidity,0.028496673917016057,0.0018210696199087342,5,0.07783746162778041,0.016973698937455477,5,-0.12522506527176563,0.02208821757246967,5,0.253362348583192,0.0025256365146803647,5,9.0,9.300537618869138,5
baseline,amm,volatility,0.02333566631873369,0.001148361665353199,5,0.06944501205749712,0.013385715482195602,5,-0.02256440650030736,0.014759346510939117,5,0.00038563494319143743,0.007456460694418738,5,1.8,1.0954451150103324,5
baseline,traditional,fundamental,0.032237959399149765,0.00210422893465315,5,0.11694502044596526,0.006207157240306252,5,0.015458165080069367,0.05012314557706279,5,0.00420444948332741,0.004843472590732536,5,3.4,2.6076809620810595,5
baseline,traditional,liquidity,0.41898240170394435,0.02283945622121981,5,0.7003797573472792,0.0031145578353953176,5,0.728670385687232,0.01775307477212934,5,0.9710517476316053,0.00014844438535833331,5,19.8,19.162463307205574,5
baseline,traditional,volatility,0.035696187189959316,0.0030126047658358044,5,0.08656274535157224,0.0227567400668722,5,0.0607483968108156,0.0397240926102876,5,0.011988031093533325,0.008203916940799517,5,1.6,1.816590212458495,5
fast_rebalancing,amm,fundamental,0.02943181739347257,0.0010730778338999402,5,0.11457452214076962,0.013696494022743968,5,-0.10516421249293373,0.026340067578352628,5,0.008277993815903929,0.0035070384230133493,5,4.0,2.7386127875258306,5
fast_rebalancing,amm,liquidity,0.038886322865991606,0.002421067407588522,5,0.08364122577239132,0.018476810747444974,5,-0.16573890394502624,0.020116845206323695,5,0.25331098573711486,0.00253935635053067,5,8.4,9.555103348473002,5
fast_rebalancing,amm,volatility,0.027922954315572353,0.0013953534179863506,5,0.07204055623654529,0.013568960401466625,5,-0.0739913611987213,0.012000168896162153,5,0.0004063073570803377,0.007435429372570916,5,3.2,2.4899799195977463,5
fast_rebalancing,traditional,fundamental,0.03462955384858103,0.0022996915044867353,5,0.11897342233794501,0.006517121951758225,5,-0.015432917068009385,0.04622589816300295,5,0.0030809924663550924,0.006220369654796136,5,2.2,1.4832396974191326,5
fast_rebalancing,traditional,liquidity,0.519295796720592,0.016343242061964993,5,0.7450812732343707,0.006395216081540705,5,0.7840206635700216,0.022146104894040432,5,0.9718563641201788,0.00029001765156937327,5,23.6,19.982492337043446,5
fast_rebalancing,traditional,volatility,0.03789950200981228,0.0030199665733597037,5,0.08863929059308426,0.022543903196618042,5,0.03143246741986507,0.03507307683650303,5,0.010518004048950803,0.009440642646454521,5,2.2,2.949576240750525,5
high_depth,amm,fundamental,0.024746462900566996,0.0011169411439069733,5,0.11193874819818476,0.013476416652324602,5,-0.0609162692358355,0.03356621876510419,5,0.008265505397593386,0.0035380238180353976,5,4.0,2.7386127875258306,5
high_depth,amm,liquidity,0.028496673917016057,0.0018210696199087342,5,0.07783746162778041,0.016973698937455477,5,-0.12522506527176563,0.02208821757246967,5,0.253362348583192,0.0025256365146803647,5,9.0,9.300537618869138,5
high_depth,amm,volatility,0.02333566631873369,0.001148361665353199,5,0.06944501205749712,0.013385715482195602,5,-0.02256440650030736,0.014759346510939117,5,0.00038563494319143743,0.007456460694418738,5,1.8,1.0954451150103324,5
high_depth,traditional,fundamental,0.031062973565334318,0.0019652998886700215,5,0.1114892364412419,0.005515200855521395,5,0.03507543933474024,0.050979276561075926,5,0.004095487221296201,0.004198765350455326,5,3.2,2.6832815729997477,5
high_depth,traditional,liquidity,0.41686097839933006,0.019869708058295896,5,0.6989455124662752,0.0015504353705271532,5,0.7379708495385249,0.017697750315213305,5,0.9710285808917574,0.00011834611614831314,5,8.8,2.588435821108957,5
high_depth,traditional,volatility,0.03460781247564406,0.0028773795866590475,5,0.08147034424957562,0.021692115610525815,5,0.07624295519115323,0.04211664161244022,5,0.01238539647945891,0.007814738933320953,5,0.8,0.8366600265340756,5
high_lp_tolerance,amm,fundamental,0.024746462900566996,0.0011169411439069733,5,0.11193874819818476,0.013476416652324602,5,-0.0609162692358355,0.03356621876510419,5,0.008265505397593386,0.0035380238180353976,5,4.0,2.7386127875258306,5
high_lp_tolerance,amm,liquidity,0.028496673917016057,0.0018210696199087342,5,0.07783746162778041,0.016973698937455477,5,-0.12522506527176563,0.02208821757246967,5,0.253362348583192,0.0025256365146803647,5,9.0,9.300537618869138,5
high_lp_tolerance,amm,volatility,0.02333566631873369,0.001148361665353199,5,0.06944501205749712,0.013385715482195602,5,-0.02256440650030736,0.014759346510939117,5,0.00038563494319143743,0.007456460694418738,5,1.8,1.0954451150103324,5
high_lp_tolerance,traditional,fundamental,0.03209212273220749,0.0020751416365804133,5,0.11647246577445122,0.006161177228100743,5,0.017694169461865444,0.050089759996394125,5,0.0031362374526433976,0.003571269980184204,5,3.4,2.6076809620810595,5
high_lp_tolerance,traditional,liquidity,0.4196526388328964,0.02395519320633397,5,0.7006837796605474,0.003307696889188311,5,0.7299320067554842,0.015349730806422613,5,0.969354427548822,0.00017118861376652067,5,10.0,1.8708286933869707,5
high_lp_tolerance,traditional,volatility,0.035541592345214555,0.0029913152303006315,5,0.08609910715161999,0.022621213183383254,5,0.06279462716104937,0.03996201465834737,5,0.008988750375628674,0.006071419799209036,5,1.6,1.816590212458495,5
long_signals,amm,fundamental,0.024452195485476735,0.0009102841850319229,5,0.11115030010133942,0.013539355804908481,5,-0.052770705341091774,0.03236411438064615,5,0.008116066972581404,0.0033815944440273907,5,1.6,1.140175425099138,5
long_signals,amm,liquidity,0.02782087961958215,0.0016555899666833105,5,0.07619654558062947,0.016481425762298905,5,-0.12214430623991804,0.0195117442194557,5,0.25333492338949093,0.002421093073332806,5,4.8,5.761944116355173,5
long_signals,amm,volatility,0.02282933424889086,0.0012029556799006546,5,0.06931249288819614,0.013375769730176488,5,-0.01372002760514408,0.02113463683555923,5,0.00029883795868026477,0.007320755480387164,5,1.6,0.8944271909999159,5
long_signals,traditional,fundamental,0.03213434732302135,0.0019506580043467609,5,0.11659190302878375,0.0057451724264897626,5,0.015629894617088025,0.047999568630629534,5,0.0037427843509515004,0.005457924858090595,5,3.2,2.6832815729997477,5
long_signals,traditional,liquidity,0.37727476331681425,0.01877535349750226,5,0.7170535030694144,0.003013574964377871,5,0.6957156752421835,0.03725734599256638,5,0.970581252405052,0.0006134120646005105,5,3.6,2.3021728866442674,5
long_signals,traditional,volatility,0.03557984192348917,0.0029929670190668215,5,0.08609637948520517,0.022787345676323234,5,0.06265403503463002,0.03954636043789067,5,0.0068135815565873335,0.006919800348478132,5,1.2,1.6431676725154982,5
low_depth,amm,fundamental,0.024746462900566996,0.0011169411439069733,5,0.11193874819818476,0.013476416652324602,5,-0.0609162692358355,0.03356621876510419,5,0.008265505397593386,0.0035380238180353976,5,4.0,2.7386127875258306,5
low_depth,amm,liquidity,0.028496673917016057,0.0018210696199087342,5,0.07783746162778041,0.016973698937455477,5,-0.12522506527176563,0.02208821757246967,5,0.253362348583192,0.0025256365146803647,5,9.0,9.300537618869138,5
low_depth,amm,volatility,0.02333566631873369,0.001148361665353199,5,0.06944501205749712,0.013385715482195602,5,-0.02256440650030736,0.014759346510939117,5,0.00038563494319143743,0.007456460694418738,5,1.8,1.0954451150103324,5
low_depth,traditional,fundamental,0.03673100091037272,0.0028647705525486804,5,0.132512230737053,0.00773122664193159,5,-0.039380677889925775,0.04646921701598661,5,0.004846826705211593,0.0075684763428507966,5,1.4,1.6733200530681511,5
low_depth,traditional,liquidity,0.42419609778198986,0.01801943934659284,5,0.7027248754190016,0.0040585009628251985,5,0.7151496713561529,0.0240853540246654,5,0.9709459928167938,0.00026106603740357027,5,32.8,14.515508947329405,5
low_depth,traditional,volatility,0.04015359722278033,0.0034778602114222614,5,0.10353480066058049,0.025021744810262838,5,0.010661182998799113,0.03427409051261322,5,0.010633708661496377,0.010117452584470246,5,3.2,3.7013511046643495,5
low_lp_tolerance,amm,fundamental,0.024746462900566996,0.0011169411439069733,5,0.11193874819818476,0.013476416652324602,5,-0.0609162692358355,0.03356621876510419,5,0.008265505397593386,0.0035380238180353976,5,4.0,2.7386127875258306,5
low_lp_tolerance,amm,liquidity,0.028496673917016057,0.0018210696199087342,5,0.07783746162778041,0.016973698937455477,5,-0.12522506527176563,0.02208821757246967,5,0.253362348583192,0.0025256365146803647,5,9.0,9.300537618869138,5
low_lp_tolerance,amm,volatility,0.02333566631873369,0.001148361665353199,5,0.06944501205749712,0.013385715482195602,5,-0.02256440650030736,0.014759346510939117,5,0.00038563494319143743,0.007456460694418738,5,1.8,1.0954451150103324,5
low_lp_tolerance,traditional,fundamental,0.03259655231053028,0.0021788694400358692,5,0.11794254103945605,0.006300545926995016,5,0.010192762812893896,0.05017767869785654,5,0.006420296609489795,0.007612402181440657,5,3.4,2.6076809620810595,5
low_lp_tolerance,traditional,liquidity,0.41860707707587563,0.020543217810016598,5,0.6997834724247987,0.002688697287177862,5,0.7267339414859549,0.021069598943810226,5,0.9737559685059782,0.0001222138220867095,5,19.4,19.39845354661036,5
low_lp_tolerance,traditional,volatility,0.03608126767339245,0.0030644496726261387,5,0.08755448606581498,0.02308307852945373,5,0.05581945473133824,0.0391637100825291,5,0.0180458091566869,0.012720261258079466,5,1.6,1.816590212458495,5
